Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,Rueben Bain,EDGE,Miami (FL)
4,Francis Mauigoa,OT,Miami (FL)
5,David Bailey,EDGE,Texas Tech
6,Spencer Fano,OT,Utah
7,Carnell Tate,WR,Ohio State
8,Caleb Downs,S,Ohio State
9,Jeremiyah Love,RB,Notre Dame
10,Jordyn Tyson,WR,Arizona State
11,Mansoor Delane,CB,LSU
12,Sonny Styles,LB,Ohio State
13,Makai Lemon,WR,USC
14,Jermod McCoy,CB,Tennessee
15,Keldric Faulk,EDGE,Auburn
16,Olaivavega Ioane,IOL,Penn State
17,Peter Woods,DL,Clemson
18,Cashius Howell,EDGE,Texas A&M
19,Kenyon Sadiq,TE,Oregon
20,Kadyn Proctor,OT,Alabama
21,Avieon Terrell,CB,Clemson
22,Denzel Boston,WR,Washington
23,Caleb Lomu,OT,Utah
24,Caleb Banks,DL,Florida
25,Akheem Mesidor,EDGE,Miami (FL)
26,Kevin Concepcion,WR,Texas A&M
27,C.J. Allen,LB,Georgia
28,T.J. Parker,EDGE,Clemson
29,Kayden McDonald,DL,Ohio State
30,Ty Simpson,QB,Alabama
31,Monroe Freeling,OT,Georgia
32,Colton Hood,CB,Tennessee
33,Brandon Cisse,CB,South Carolina
34,Emmanuel McNeil-Warren,S,Toledo
35,Lee Hunter,DL,Texas Tech
36,Blake Miller,OT,Clemson
37,Emmanuel Pregnon,IOL,Oregon
38,Zion Young,EDGE,Missouri
39,Dillon Thieneman,S,Oregon
40,Max Iheanachor,OT,Arizona State
41,R Mason Thomas,EDGE,Oklahoma
42,Omar Cooper Jr.,WR,Indiana
43,Anthony Hill Jr.,LB,Texas
44,Christen Miller,DL,Georgia
45,Chase Bisontis,IOL,Texas A&M
46,Chris Johnson,CB,San Diego State
47,Zachariah Branch,WR,Georgia
48,Keith Abney II,CB,Arizona State
49,Malachi Fields,WR,Notre Dame
50,Chris Bell,WR,Louisville
51,Chris Brazzell,WR,Tennessee
52,Gennings Dunker,OT,Iowa
53,Jake Golday,LB,Cincinnati
54,Elijah Sarratt,WR,Indiana
55,Keionte Scott,CB,Miami (FL)
56,Jacob Rodriguez,LB,Texas Tech
57,Jadarian Price,RB,Notre Dame
58,D'angelo Ponds,CB,Indiana
59,L.T. Overton,EDGE,Alabama
60,Germie Bernard,WR,Alabama
61,Derrick Moore,EDGE,Michigan
62,Gabe Jacas,EDGE,Illinois
63,A.J. Haulcy,S,LSU
64,Josiah Trotter,LB,Missouri
65,Joshua Josephs,EDGE,Tennessee
66,Eli Stowers,TE,Vanderbilt
67,Caleb Tiernan,OT,Northwestern
68,Connor Lew,IOL,Auburn
69,Antonio Williams,WR,Clemson
70,Darrell Jackson Jr.,DL,Florida State
71,Romello Height,EDGE,Texas Tech
72,Jonah Coleman,RB,Washington
73,Davison Igbinosun,CB,Ohio State
74,Garrett Nussmeier,QB,LSU
75,Domonique Orange,DL,Iowa State
76,Kamari Ramsey,S,USC
77,Kyle Louis,LB,Pittsburgh
78,Ted Hurst,WR,Georgia State
79,Emmett Johnson,RB,Nebraska
80,Max Klare,TE,Ohio State
81,Keylan Rutledge,IOL,Georgia Tech
82,Zakee Wheatley,S,Penn State
83,Dani Dennis-Sutton,EDGE,Penn State
84,Malik Muhammad,CB,Texas
85,Ja'Kobi Lane,WR,USC
86,Sam Hecht,IOL,Kansas State
87,Devin Moore,CB,Florida
88,Genesis Smith,S,Arizona
89,Brian Parker II,OT,Duke
90,Skyler Bell,WR,UConn
91,Michael Trigg,TE,Baylor
92,Julian Neal,CB,Arkansas
93,Malachi Lawrence,EDGE,UCF
94,Jake Slaughter,IOL,Florida
95,Isaiah World,OT,Oregon
96,Treydan Stukes,CB,Arizona
97,Deion Burks,WR,Oklahoma
