State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,429,16,113
Ohio,299,7,44
Florida,251,6,52
Alabama,233,7,35
Indiana,210,3,33
South Carolina,196,4,37
Georgia,172,4,32
California,156,10,45
Tennessee,140,5,32
Pennsylvania,130,2,28
Oregon,123,2,17
Louisiana,121,6,27
Utah,105,2,21
Arizona,103,2,22
Iowa,86,2,17
Mississippi,82,3,25
North Carolina,79,7,28
Illinois,66,4,24
Washington,64,1,5
Michigan,60,4,22
Oklahoma,56,3,20
Kentucky,54,2,20
Missouri,50,1,12
Arkansas,43,2,10
Virginia,31,5,26
Massachusetts,28,2,8
Nebraska,27,1,9
Kansas,22,2,13
Wisconsin,18,1,8
North Dakota,14,2,4
New York,12,2,7
Idaho,12,1,5
Connecticut,11,1,2
Colorado,10,2,10
New Jersey,10,1,6
Maryland,8,2,6
Wyoming,7,1,2
West Virginia,6,2,6
Minnesota,5,1,5
New Hampshire,5,1,1
New Mexico,4,2,4
Nevada,4,1,4
Hawaii,1,1,1
Delaware,1,1,1
South Dakota,1,1,1
