1,1,Fernando Mendoza,Indiana,QB,2026-03-05,,,Indiana,Big Ten,35
2,2,Arvell Reese,Ohio State,LB,2026-03-05,,,Ohio,Big Ten,35
3,3,David Bailey,Texas Tech,EDGE,2026-03-05,,,Texas,Big 12,35
4,4,Rueben Bain,Miami (FL),EDGE,2026-03-05,,,Florida,ACC,35
5,5,Francis Mauigoa,Miami (FL),OT,2026-03-05,,,Florida,ACC,35
6,6,Caleb Downs,Ohio State,S,2026-03-05,,,Ohio,Big Ten,35
7,7,Carnell Tate,Ohio State,WR,2026-03-05,,,Ohio,Big Ten,35
8,8,Jeremiyah Love,Notre Dame,RB,2026-03-05,,,Indiana,FBS - Independent,35
9,9,Spencer Fano,Utah,OT,2026-03-05,,,Utah,Big 12,35
10,10,Sonny Styles,Ohio State,LB,2026-03-05,,,Ohio,Big Ten,35
11,11,Mansoor Delane,LSU,CB,2026-03-05,,,Louisiana,SEC,30
12,12,Makai Lemon,USC,WR,2026-03-05,,,California,Big Ten,30
13,13,Jordyn Tyson,Arizona State,WR,2026-03-05,,,Arizona,Big 12,30
14,14,Jermod McCoy,Tennessee,CB,2026-03-05,,,Tennessee,SEC,30
15,15,Monroe Freeling,Georgia,OT,2026-03-05,,,Georgia,SEC,30
16,16,Olaivavega Ioane,Penn State,IOL,2026-03-05,,,Pennsylvania,Big Ten,30
17,17,Keldric Faulk,Auburn,EDGE,2026-03-05,,,Alabama,SEC,30
18,18,Kenyon Sadiq,Oregon,TE,2026-03-05,,,Oregon,Big Ten,30
19,19,Peter Woods,Clemson,DL,2026-03-05,,,South Carolina,ACC,30
20,20,Avieon Terrell,Clemson,CB,2026-03-05,,,South Carolina,ACC,30
21,21,Denzel Boston,Washington,WR,2026-03-05,,,Washington,Big Ten,30
22,22,Akheem Mesidor,Miami (FL),EDGE,2026-03-05,,,Florida,ACC,30
23,23,Kadyn Proctor,Alabama,OT,2026-03-05,,,Alabama,SEC,30
24,24,Caleb Banks,Florida,DL,2026-03-05,,,Florida,SEC,30
25,25,Cashius Howell,Texas A&M,EDGE,2026-03-05,,,Texas,SEC,30
26,26,C.J. Allen,Georgia,LB,2026-03-05,,,Georgia,SEC,25
27,27,Caleb Lomu,Utah,OT,2026-03-05,,,Utah,Big 12,25
28,28,Dillon Thieneman,Oregon,S,2026-03-05,,,Oregon,Big Ten,25
29,29,Kevin Concepcion,Texas A&M,WR,2026-03-05,,,Texas,SEC,25
30,30,T.J. Parker,Clemson,EDGE,2026-03-05,,,South Carolina,ACC,25
31,31,Emmanuel McNeil-Warren,Toledo,S,2026-03-05,,,Ohio,FBS - MAC,25
32,32,Ty Simpson,Alabama,QB,2026-03-05,,,Alabama,SEC,25
33,33,Kayden McDonald,Ohio State,DL,2026-03-05,,,Ohio,Big Ten,25
34,34,Colton Hood,Tennessee,CB,2026-03-05,,,Tennessee,SEC,25
35,35,Omar Cooper Jr.,Indiana,WR,2026-03-05,,,Indiana,Big Ten,25
36,36,Brandon Cisse,South Carolina,CB,2026-03-05,,,South Carolina,SEC,20
37,37,Blake Miller,Clemson,OT,2026-03-05,,,South Carolina,ACC,20
38,38,Zion Young,Missouri,EDGE,2026-03-05,,,Missouri,SEC,20
39,39,Lee Hunter,Texas Tech,DL,2026-03-05,,,Texas,Big 12,20
40,40,Max Iheanachor,Arizona State,OT,2026-03-05,,,Arizona,Big 12,20
41,41,Emmanuel Pregnon,Oregon,IOL,2026-03-05,,,Oregon,Big Ten,20
42,42,R Mason Thomas,Oklahoma,EDGE,2026-03-05,,,Oklahoma,SEC,20
43,43,Chris Johnson,San Diego State,CB,2026-03-05,,,California,FBS - Mountain West,20
44,44,Anthony Hill Jr.,Texas,LB,2026-03-05,,,Texas,SEC,20
45,45,Christen Miller,Georgia,DL,2026-03-05,,,Georgia,SEC,20
46,46,Chase Bisontis,Texas A&M,IOL,2026-03-05,,,Texas,SEC,20
47,47,Chris Brazzell,Tennessee,WR,2026-03-05,,,Tennessee,SEC,20
48,48,Chris Bell,Louisville,WR,2026-03-05,,,Kentucky,ACC,20
49,49,Zachariah Branch,Georgia,WR,2026-03-05,,,Georgia,SEC,20
50,50,Malachi Fields,Notre Dame,WR,2026-03-05,,,Indiana,FBS - Independent,20
51,51,Eli Stowers,Vanderbilt,TE,2026-03-05,,,Tennessee,SEC,20
52,52,Jadarian Price,Notre Dame,RB,2026-03-05,,,Indiana,FBS - Independent,20
53,53,D'angelo Ponds,Indiana,CB,2026-03-05,,,Indiana,Big Ten,20
54,54,Jacob Rodriguez,Texas Tech,LB,2026-03-05,,,Texas,Big 12,20
55,55,Gennings Dunker,Iowa,OT,2026-03-05,,,Iowa,Big Ten,20
56,56,Jake Golday,Cincinnati,LB,2026-03-05,,,Ohio,Big 12,20
57,57,Keith Abney II,Arizona State,CB,2026-03-05,,,Arizona,Big 12,20
58,58,Gabe Jacas,Illinois,EDGE,2026-03-05,,,Illinois,Big Ten,20
59,59,A.J. Haulcy,LSU,S,2026-03-05,,,Louisiana,SEC,20
60,60,Germie Bernard,Alabama,WR,2026-03-05,,,Alabama,SEC,15
61,61,Keionte Scott,Miami (FL),CB,2026-03-05,,,Florida,ACC,15
62,62,Elijah Sarratt,Indiana,WR,2026-03-05,,,Indiana,Big Ten,15
63,63,Connor Lew,Auburn,IOL,2026-03-05,,,Alabama,SEC,15
64,64,Malachi Lawrence,UCF,EDGE,2026-03-05,,,Florida,Big 12,15
65,65,Caleb Tiernan,Northwestern,OT,2026-03-05,,,Illinois,Big Ten,15
66,66,Derrick Moore,Michigan,EDGE,2026-03-05,,,Michigan,Big Ten,15
67,67,Josiah Trotter,Missouri,LB,2026-03-05,,,Missouri,SEC,15
68,68,L.T. Overton,Alabama,EDGE,2026-03-05,,,Alabama,SEC,15
69,69,Dani Dennis-Sutton,Penn State,EDGE,2026-03-05,,,Pennsylvania,Big Ten,15
70,70,Antonio Williams,Clemson,WR,2026-03-05,,,South Carolina,ACC,15
71,71,Kamari Ramsey,USC,S,2026-03-05,,,California,Big Ten,10
72,72,Davison Igbinosun,Ohio State,CB,2026-03-05,,,Ohio,Big Ten,10
73,73,Max Klare,Ohio State,TE,2026-03-05,,,Ohio,Big Ten,10
74,74,Romello Height,Texas Tech,EDGE,2026-03-05,,,Texas,Big 12,10
75,75,Zakee Wheatley,Penn State,S,2026-03-05,,,Pennsylvania,Big Ten,10
76,76,Keylan Rutledge,Georgia Tech,IOL,2026-03-05,,,Georgia,ACC,10
77,77,Gracen Halton,Oklahoma,DL,2026-03-05,,,Oklahoma,SEC,10
