Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Rueben Bain,EDGE,Miami (FL)
5,Francis Mauigoa,OT,Miami (FL)
6,Caleb Downs,S,Ohio State
7,Carnell Tate,WR,Ohio State
8,Jeremiyah Love,RB,Notre Dame
9,Spencer Fano,OT,Utah
10,Sonny Styles,LB,Ohio State
11,Mansoor Delane,CB,LSU
12,Makai Lemon,WR,USC
13,Jordyn Tyson,WR,Arizona State
14,Jermod McCoy,CB,Tennessee
15,Monroe Freeling,OT,Georgia
16,Olaivavega Ioane,IOL,Penn State
17,Keldric Faulk,EDGE,Auburn
18,Kenyon Sadiq,TE,Oregon
19,Peter Woods,DL,Clemson
20,Avieon Terrell,CB,Clemson
21,Denzel Boston,WR,Washington
22,Akheem Mesidor,EDGE,Miami (FL)
23,Kadyn Proctor,OT,Alabama
24,Caleb Banks,DL,Florida
25,Cashius Howell,EDGE,Texas A&M
26,C.J. Allen,LB,Georgia
27,Caleb Lomu,OT,Utah
28,Dillon Thieneman,S,Oregon
29,Kevin Concepcion,WR,Texas A&M
30,T.J. Parker,EDGE,Clemson
31,Emmanuel McNeil-Warren,S,Toledo
32,Ty Simpson,QB,Alabama
33,Kayden McDonald,DL,Ohio State
34,Colton Hood,CB,Tennessee
35,Omar Cooper Jr.,WR,Indiana
36,Brandon Cisse,CB,South Carolina
37,Blake Miller,OT,Clemson
38,Zion Young,EDGE,Missouri
39,Lee Hunter,DL,Texas Tech
40,Max Iheanachor,OT,Arizona State
41,Emmanuel Pregnon,IOL,Oregon
42,R Mason Thomas,EDGE,Oklahoma
43,Chris Johnson,CB,San Diego State
44,Anthony Hill Jr.,LB,Texas
45,Christen Miller,DL,Georgia
46,Chase Bisontis,IOL,Texas A&M
47,Chris Brazzell,WR,Tennessee
48,Chris Bell,WR,Louisville
49,Zachariah Branch,WR,Georgia
50,Malachi Fields,WR,Notre Dame
51,Eli Stowers,TE,Vanderbilt
52,Jadarian Price,RB,Notre Dame
53,D'angelo Ponds,CB,Indiana
54,Jacob Rodriguez,LB,Texas Tech
55,Gennings Dunker,OT,Iowa
56,Jake Golday,LB,Cincinnati
57,Keith Abney II,CB,Arizona State
58,Gabe Jacas,EDGE,Illinois
59,A.J. Haulcy,S,LSU
60,Germie Bernard,WR,Alabama
61,Keionte Scott,CB,Miami (FL)
62,Elijah Sarratt,WR,Indiana
63,Connor Lew,IOL,Auburn
64,Malachi Lawrence,EDGE,UCF
65,Caleb Tiernan,OT,Northwestern
66,Derrick Moore,EDGE,Michigan
67,Josiah Trotter,LB,Missouri
68,L.T. Overton,EDGE,Alabama
69,Dani Dennis-Sutton,EDGE,Penn State
70,Antonio Williams,WR,Clemson
71,Kamari Ramsey,S,USC
72,Davison Igbinosun,CB,Ohio State
73,Max Klare,TE,Ohio State
74,Romello Height,EDGE,Texas Tech
75,Zakee Wheatley,S,Penn State
76,Keylan Rutledge,IOL,Georgia Tech
77,Gracen Halton,DL,Oklahoma
78,Emmett Johnson,RB,Nebraska
79,Kyle Louis,LB,Pittsburgh
80,Jake Slaughter,IOL,Florida
81,Darrell Jackson Jr.,DL,Florida State
82,Skyler Bell,WR,UConn
83,Mike Washington Jr.,RB,Arkansas
84,Drew Allar,QB,Penn State
85,Garrett Nussmeier,QB,LSU
86,Genesis Smith,S,Arizona
87,Sam Hecht,IOL,Kansas State
88,Domonique Orange,DL,Iowa State
89,Joshua Josephs,EDGE,Tennessee
90,Julian Neal,CB,Arkansas
91,Devin Moore,CB,Florida
92,Brian Parker II,OT,Duke
93,Jalon Kilgore,S,South Carolina
94,Treydan Stukes,CB,Arizona
95,Nick Singleton,RB,Penn State
96,Logan Jones,IOL,Iowa
97,Jonah Coleman,RB,Washington
