Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Sonny Styles,LB,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Rueben Bain,EDGE,Miami (FL)
8,Carnell Tate,WR,Ohio State
9,Caleb Downs,S,Ohio State
10,Spencer Fano,OT,Utah
11,Mansoor Delane,CB,LSU
12,Monroe Freeling,OT,Georgia
13,Makai Lemon,WR,USC
14,Jordyn Tyson,WR,Arizona State
15,Jermod McCoy,CB,Tennessee
16,Kenyon Sadiq,TE,Oregon
17,Olaivavega Ioane,IOL,Penn State
18,Dillon Thieneman,S,Oregon
19,Keldric Faulk,EDGE,Auburn
20,Akheem Mesidor,EDGE,Miami (FL)
21,Kadyn Proctor,OT,Alabama
22,Caleb Lomu,OT,Utah
23,Avieon Terrell,CB,Clemson
24,Peter Woods,DL,Clemson
25,Emmanuel McNeil-Warren,S,Toledo
26,Omar Cooper Jr.,WR,Indiana
27,C.J. Allen,LB,Georgia
28,T.J. Parker,EDGE,Clemson
29,Denzel Boston,WR,Washington
30,Kevin Concepcion,WR,Texas A&M
31,Blake Miller,OT,Clemson
32,Caleb Banks,DL,Florida
33,Kayden McDonald,DL,Ohio State
34,Cashius Howell,EDGE,Texas A&M
35,Ty Simpson,QB,Alabama
36,Colton Hood,CB,Tennessee
37,Zion Young,EDGE,Missouri
38,Max Iheanachor,OT,Arizona State
39,Brandon Cisse,CB,South Carolina
40,Lee Hunter,DL,Texas Tech
41,Emmanuel Pregnon,IOL,Oregon
42,Chris Johnson,CB,San Diego State
43,Jacob Rodriguez,LB,Texas Tech
44,Chase Bisontis,IOL,Texas A&M
45,Christen Miller,DL,Georgia
46,Jadarian Price,RB,Notre Dame
47,Anthony Hill Jr.,LB,Texas
48,R Mason Thomas,EDGE,Oklahoma
49,Malachi Lawrence,EDGE,UCF
50,Chris Brazzell,WR,Tennessee
51,Chris Bell,WR,Louisville
52,Jake Golday,LB,Cincinnati
53,D'angelo Ponds,CB,Indiana
54,Eli Stowers,TE,Vanderbilt
55,Gabe Jacas,EDGE,Illinois
56,Germie Bernard,WR,Alabama
57,A.J. Haulcy,S,LSU
58,Derrick Moore,EDGE,Michigan
59,Gennings Dunker,OT,Iowa
60,Josiah Trotter,LB,Missouri
61,Zachariah Branch,WR,Georgia
62,Keionte Scott,CB,Miami (FL)
63,Keith Abney II,CB,Arizona State
64,Malachi Fields,WR,Notre Dame
65,Mike Washington Jr.,RB,Arkansas
66,Domonique Orange,DL,Iowa State
67,Connor Lew,IOL,Auburn
68,Sam Hecht,IOL,Kansas State
69,Antonio Williams,WR,Clemson
70,Dani Dennis-Sutton,EDGE,Penn State
71,Kamari Ramsey,S,USC
72,Treydan Stukes,CB,Arizona
73,Caleb Tiernan,OT,Northwestern
74,Gracen Halton,DL,Oklahoma
75,Max Klare,TE,Ohio State
76,Keylan Rutledge,IOL,Georgia Tech
77,Elijah Sarratt,WR,Indiana
78,Kyle Louis,LB,Pittsburgh
79,Garrett Nussmeier,QB,LSU
80,Davison Igbinosun,CB,Ohio State
81,Genesis Smith,S,Arizona
82,Romello Height,EDGE,Texas Tech
83,Joshua Josephs,EDGE,Tennessee
84,Skyler Bell,WR,UConn
85,Zakee Wheatley,S,Penn State
86,Bryce Lance,WR,North Dakota State
87,Darrell Jackson Jr.,DL,Florida State
88,Ted Hurst,WR,Georgia State
89,Jalon Kilgore,S,South Carolina
90,Julian Neal,CB,Arkansas
91,L.T. Overton,EDGE,Alabama
92,Jonah Coleman,RB,Washington
93,Deion Burks,WR,Oklahoma
94,Bud Clark,S,TCU
95,Chandler Rivers,CB,Duke
96,Logan Jones,IOL,Iowa
97,Devin Moore,CB,Florida
