Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,Rueben Bain,EDGE,Miami (FL)
4,Carnell Tate,WR,Ohio State
5,Caleb Downs,S,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Jordyn Tyson,WR,Arizona State
8,Spencer Fano,OT,Utah
9,David Bailey,EDGE,Texas Tech
10,Jeremiyah Love,RB,Notre Dame
11,Keldric Faulk,EDGE,Auburn
12,Peter Woods,DL,Clemson
13,Mansoor Delane,CB,LSU
14,Jermod McCoy,CB,Tennessee
15,Sonny Styles,LB,Ohio State
16,Makai Lemon,WR,USC
17,Kenyon Sadiq,TE,Oregon
18,Avieon Terrell,CB,Clemson
19,Kadyn Proctor,OT,Alabama
20,Olaivavega Ioane,IOL,Penn State
21,Kayden McDonald,DL,Ohio State
22,Cashius Howell,EDGE,Texas A&M
23,Ty Simpson,QB,Alabama
24,Denzel Boston,WR,Washington
25,Caleb Lomu,OT,Utah
26,T.J. Parker,EDGE,Clemson
27,Kevin Concepcion,WR,Texas A&M
28,C.J. Allen,LB,Georgia
29,Caleb Banks,DL,Florida
30,Brandon Cisse,CB,South Carolina
31,Colton Hood,CB,Tennessee
32,Emmanuel Pregnon,IOL,Oregon
33,Christen Miller,DL,Georgia
34,Gennings Dunker,OT,Iowa
35,Monroe Freeling,OT,Georgia
36,Akheem Mesidor,EDGE,Miami (FL)
37,R Mason Thomas,EDGE,Oklahoma
38,Romello Height,EDGE,Texas Tech
39,Anthony Hill Jr.,LB,Texas
40,Emmanuel McNeil-Warren,S,Toledo
41,Trinidad Chambliss,QB,Mississippi
42,Keith Abney II,CB,Arizona State
43,Chris Bell,WR,Louisville
44,Elijah Sarratt,WR,Indiana
45,L.T. Overton,EDGE,Alabama
46,Chris Johnson,CB,San Diego State
47,Zachariah Branch,WR,Georgia
48,Lee Hunter,DL,Texas Tech
49,Dillon Thieneman,S,Oregon
50,Zion Young,EDGE,Missouri
51,Caleb Tiernan,OT,Northwestern
52,Germie Bernard,WR,Alabama
53,Chris Brazzell,WR,Tennessee
54,Connor Lew,IOL,Auburn
55,A.J. Haulcy,S,LSU
56,Jonah Coleman,RB,Washington
57,Blake Miller,OT,Clemson
58,Garrett Nussmeier,QB,LSU
59,Zakee Wheatley,S,Penn State
60,Kamari Ramsey,S,USC
61,Jake Golday,LB,Cincinnati
62,D'angelo Ponds,CB,Indiana
63,Dani Dennis-Sutton,EDGE,Penn State
64,Isaiah World,OT,Oregon
65,Ja'Kobi Lane,WR,USC
66,Chase Bisontis,IOL,Texas A&M
67,Julian Neal,CB,Arkansas
68,Joshua Josephs,EDGE,Tennessee
69,Domonique Orange,DL,Iowa State
70,Josiah Trotter,LB,Missouri
71,Max Iheanachor,OT,Arizona State
72,Deontae Lawson,LB,Alabama
73,Keionte Scott,CB,Miami (FL)
74,Carter Smith,OT,Indiana
75,Devin Moore,CB,Florida
76,Omar Cooper Jr.,WR,Indiana
77,Malik Muhammad,CB,Texas
78,Max Klare,TE,Ohio State
79,Jadarian Price,RB,Notre Dame
80,Brian Parker II,OT,Duke
81,Eli Stowers,TE,Vanderbilt
82,Michael Trigg,TE,Baylor
83,Emmett Johnson,RB,Nebraska
84,Davison Igbinosun,CB,Ohio State
85,Antonio Williams,WR,Clemson
86,Will Lee III,CB,Texas A&M
87,Harold Perkins,LB,LSU
88,Skyler Bell,WR,UConn
89,Malachi Fields,WR,Notre Dame
90,Carson Beck,QB,Miami (FL)
91,Dontay Corleone,DL,Cincinnati
92,Gabe Jacas,EDGE,Illinois
93,Jake Slaughter,IOL,Florida
94,Jacob Rodriguez,LB,Texas Tech
95,Derrick Moore,EDGE,Michigan
96,Justin Joly,TE,NC State
97,Parker Brailsford,IOL,Alabama
98,Chandler Rivers,CB,Duke
