Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Dante Moore,QB,Oregon
3,Arvell Reese,LB,Ohio State
4,Rueben Bain,EDGE,Miami (FL)
5,Carnell Tate,WR,Ohio State
6,Jordyn Tyson,WR,Arizona State
7,Caleb Downs,S,Ohio State
8,Spencer Fano,OT,Utah
9,Jeremiyah Love,RB,Notre Dame
10,David Bailey,EDGE,Texas Tech
11,Francis Mauigoa,OT,Miami (FL)
12,Keldric Faulk,EDGE,Auburn
13,Peter Woods,DL,Clemson
14,Mansoor Delane,CB,LSU
15,Jermod McCoy,CB,Tennessee
16,Ty Simpson,QB,Alabama
17,Makai Lemon,WR,USC
18,Sonny Styles,LB,Ohio State
19,Kenyon Sadiq,TE,Oregon
20,Avieon Terrell,CB,Clemson
21,Olaivavega Ioane,IOL,Penn State
22,Kadyn Proctor,OT,Alabama
23,T.J. Parker,EDGE,Clemson
24,Denzel Boston,WR,Washington
25,Caleb Lomu,OT,Utah
26,Cashius Howell,EDGE,Texas A&M
27,C.J. Allen,LB,Georgia
28,Kayden McDonald,DL,Ohio State
29,Kevin Concepcion,WR,Texas A&M
30,Colton Hood,CB,Tennessee
31,Brandon Cisse,CB,South Carolina
32,Caleb Banks,DL,Florida
33,Matayo Uiagalelei,EDGE,Oregon
34,Chris Bell,WR,Louisville
35,A'Mauri Washington,DL,Oregon
36,Gennings Dunker,OT,Iowa
37,Emmanuel Pregnon,IOL,Oregon
38,Anthony Hill Jr.,LB,Texas
39,Garrett Nussmeier,QB,LSU
40,Trevor Goosby,OT,Texas
41,L.T. Overton,EDGE,Alabama
42,Christen Miller,DL,Georgia
43,Athan Kaliakmanis,QB,Rutgers
44,Chris Brazzell,WR,Tennessee
45,Emmanuel McNeil-Warren,S,Toledo
46,R Mason Thomas,EDGE,Oklahoma
47,Dillon Thieneman,S,Oregon
48,Romello Height,EDGE,Texas Tech
49,A.J. Haulcy,S,LSU
50,Isaiah World,OT,Oregon
51,Chris Johnson,CB,San Diego State
52,Germie Bernard,WR,Alabama
53,Keith Abney II,CB,Arizona State
54,Carter Smith,OT,Indiana
55,Blake Miller,OT,Clemson
56,Joshua Josephs,EDGE,Tennessee
57,Austin Siereveld,OT,Ohio State
58,Chase Bisontis,IOL,Texas A&M
59,Malik Muhammad,CB,Texas
60,Kenyatta Jackson,EDGE,Ohio State
61,Elijah Sarratt,WR,Indiana
62,Max Iheanachor,OT,Arizona State
63,Damon Wilson Jr.,EDGE,Missouri
64,Jadarian Price,RB,Notre Dame
65,Kamari Ramsey,S,USC
66,Julian Neal,CB,Arkansas
67,Jake Golday,LB,Cincinnati
68,Ja'Kobi Lane,WR,USC
69,Zion Young,EDGE,Missouri
70,D'angelo Ponds,CB,Indiana
71,Deontae Lawson,LB,Alabama
72,Lee Hunter,DL,Texas Tech
73,Caleb Tiernan,OT,Northwestern
74,Cade Klubnik,QB,Clemson
75,Caleb Douglas,WR,Texas Tech
76,Chandler Rivers,CB,Duke
77,Max Klare,TE,Ohio State
78,Domonique Orange,DL,Iowa State
79,Omar Cooper Jr.,WR,Indiana
80,Zachariah Branch,WR,Georgia
81,Antonio Williams,WR,Clemson
82,Connor Lew,IOL,Auburn
83,Gabe Jacas,EDGE,Illinois
84,Jonah Coleman,RB,Washington
85,Emmett Johnson,RB,Nebraska
86,Monroe Freeling,OT,Georgia
87,Eli Stowers,TE,Vanderbilt
88,Akheem Mesidor,EDGE,Miami (FL)
89,Skyler Bell,WR,UConn
90,Davison Igbinosun,CB,Ohio State
91,Genesis Smith,S,Arizona
92,Xavier Scott,S,Illinois
93,Justice Haynes,RB,Michigan
94,Taurean York,LB,Texas A&M
95,Dani Dennis-Sutton,EDGE,Penn State
96,Collin Wright,CB,Stanford
97,Jake Slaughter,IOL,Florida
98,Harold Perkins,LB,LSU
99,Will Lee III,CB,Texas A&M
100,Derrick Moore,EDGE,Michigan
101,Darrell Jackson Jr.,DL,Florida State
102,Josiah Trotter,LB,Missouri
103,Dontay Corleone,DL,Cincinnati
104,Kelley Jones,CB,Mississippi State
105,Jalon Kilgore,S,South Carolina
106,Cayden Green,OT,Missouri
107,Keenan Nelson Jr.,S,Ohio State
108,Hezekiah Masses,CB,California
109,Jacob Rodriguez,LB,Texas Tech
110,Michael Trigg,TE,Baylor
111,Anthony Lucas,EDGE,USC
112,Brenen Thompson,WR,Mississippi State
113,Eric Singleton Jr.,WR,Auburn
114,Deion Burks,WR,Oklahoma
115,Nick Singleton,RB,Penn State
116,Jaishawn Barham,LB,Michigan
117,Keylan Rutledge,IOL,Georgia Tech
118,Matt Gulbin,IOL,Michigan State
119,Whit Weeks,LB,LSU
120,Anthony Smith,DL,Minnesota
121,Tacario Davis,CB,Washington
122,Drew Shelton,OT,Penn State
123,Daylen Everette,CB,Georgia
124,Parker Brailsford,IOL,Alabama
125,Brian Parker II,OT,Duke
126,Carson Beck,QB,Miami (FL)
127,Drew Allar,QB,Penn State
128,Keionte Scott,CB,Miami (FL)
129,Austin Barber,OT,Florida
130,Beau Atkinson,EDGE,Ohio State
131,Zakee Wheatley,S,Penn State
132,Devin Moore,CB,Florida
133,Malachi Lawrence,EDGE,UCF
134,Ian Strong,WR,Rutgers
135,Domani Jackson,CB,Alabama
136,Jacarrius Peak,OT,NC State
137,John Mateer,QB,Oklahoma
138,Tyreak Sapp,EDGE,Florida
139,Jack Endries,TE,Texas
140,Benji Gosnell,TE,Virginia Tech
141,P.J. Williams,OT,SMU
142,Tim Keenan III,DL,Alabama
143,Keon Sabb,S,Alabama
144,Ahmad Moten Sr.,DL,Miami (FL)
145,Zane Durant,DL,Penn State
146,Amare Ferrell,S,Indiana
147,Kaytron Allen,RB,Penn State
148,Oscar Delp,TE,Georgia
149,Iapani Laloulu,IOL,Oregon
150,Zxavian Harris,DL,Mississippi
151,KP Price,S,Boston College
152,Jyaire Hill,CB,Michigan
153,Eli Raridon,TE,Notre Dame
154,Terry Moore,S,Duke
155,C.J. Daniels,WR,Miami (FL)
156,Bray Hubbard,S,Alabama
157,Nic Anderson,WR,LSU
158,Michael Taaffe,S,Texas
159,Malachi Fields,WR,Notre Dame
160,Joe Royer,TE,Cincinnati
161,DJ McKinney,CB,Colorado
162,Dametrious Crownover,OT,Texas A&M
163,Kevin Coleman Jr.,WR,Missouri
164,Lander Barton,LB,Utah
165,Carlos Hernandez,WR,Wake Forest
166,Jermaine Mathews Jr.,CB,Ohio State
167,DeMonte Capehart,DL,Clemson
168,Mikail Kamara,EDGE,Indiana
169,Jamari Johnson,TE,Oregon
170,Keyron Crawford,EDGE,Auburn
171,Kam Shanks,WR,Arkansas
172,Demond Claiborne,RB,Wake Forest
173,Logan Jones,IOL,Iowa
174,Jude Bowry,OT,Boston College
175,Stanquan Clark,LB,Louisville
176,Bryce Lance,WR,North Dakota State
177,Kage Casey,OT,Boise State
178,Aiden Fisher,LB,Indiana
179,Vinny Anthony II,WR,Wisconsin
180,Kade Pieper,IOL,Iowa
181,Taylen Green,QB,Arkansas
182,Eric Rivers,WR,Georgia Tech
183,Caden Curry,EDGE,Ohio State
184,Devin Neal,S,Virginia
185,Tao Johnson,S,Utah
186,Luke Petitbon,IOL,Florida State
187,Trevor Lauck,OT,Iowa
188,Josh Cameron,WR,Baylor
189,Lawson Luckie,TE,Georgia
190,Trey Zuhn III,OT,Texas A&M
191,Alex Harkey,OT,Oregon
192,Duce Robinson,WR,Florida State
193,Sam Hecht,IOL,Kansas State
194,Rayshaun Benny,DL,Michigan
195,Justin Joly,TE,NC State
196,David Oke,DL,Arkansas
197,Suntarine Perkins,LB,Mississippi
198,Aaron Anderson,WR,LSU
199,Anto Saka,EDGE,Northwestern
200,Boubacar Traore,EDGE,Notre Dame
201,Jamarion Miller,RB,Alabama
202,Terrance Carter,TE,Texas Tech
203,Gracen Halton,DL,Oklahoma
204,Charles Demmings,CB,Stephen F. Austin
205,Christian Gray,CB,Notre Dame
206,Eric McAlister,WR,TCU
207,Jaeden Roberts,IOL,Alabama
208,Jacob Thomas,S,James Madison
209,Xavier Nwankpa,S,Iowa
210,Nick Barrett,DL,South Carolina
211,Patrick Payton,EDGE,LSU
212,Tristan Leigh,OT,Clemson
213,Sheridan Wilson,IOL,Texas Tech
214,VJ Payne,S,Kansas State
215,Clev Lubin,EDGE,Louisville
216,Earnest Greene,OT,Georgia
217,Derek Simmons,OT,Oklahoma
218,Beau Stephens,IOL,Iowa
219,J'Mari Taylor,RB,Virginia
220,C.J. Fite,DL,Arizona State
221,Darius Taylor,RB,Minnesota
222,Brent Austin,CB,California
223,Jimmy Rolder,LB,Michigan
224,Desmeal Leigh,OT,Youngstown State
225,Lance Mason,TE,Wisconsin
226,Ted Hurst,WR,Georgia State
227,Bud Clark,S,TCU
228,Max Tomzcak,WR,Youngstown State
229,Marlin Klein,TE,Michigan
230,Chris McClellan,DL,Missouri
231,Hero Kanu,DL,Texas
232,George Gumbs Jr.,EDGE,Florida
233,Charles Jagusah,IOL,Notre Dame
234,Jamel Johnson,S,TCU
235,Skyler Gill-Howard,DL,Texas Tech
236,Le'Veon Moss,RB,Texas A&M
237,Tanner Koziol,TE,Houston
238,Toby Payne,TE,Marshall
239,Trinidad Chambliss,QB,Mississippi
240,Dalton Brooks,S,Texas A&M
241,Treydan Stukes,CB,Arizona
242,Jack Pyburn,EDGE,LSU
243,Aaron Graves,DL,Iowa
244,Jadon Canady,CB,Oregon
245,Drayk Bowen,LB,Notre Dame
246,Brett Norfleet,TE,Missouri
247,Fa'alili Fa'amoe,OT,Wake Forest
248,Sawyer Robertson,QB,Baylor
249,Louis Moore,S,Indiana
250,Isaiah Brown-Murray,CB,Virginia Tech
251,Logan Fano,EDGE,Utah
252,Keagen Trost,IOL,Missouri
253,Kyle Louis,LB,Pittsburgh
254,Josh Cuevas,TE,Alabama
255,Brandon Cleveland,DL,NC State
256,Keanu Tanuvasa,DL,BYU
257,Fisher Camac,EDGE,Virginia
258,Devon Marshall,CB,NC State
259,Red Murdock,LB,Buffalo
260,Rylan Kennedy,EDGE,Texas A&M
261,Trevyon Green,OT,North Carolina
262,Earl Little Jr.,S,Florida State
263,Logan Taylor,IOL,Boston College
264,Dae'Quan Wright,TE,Mississippi
265,Cole Brevard,DL,Texas
266,Brett Thorson,P,Georgia
267,Max Llewellyn,EDGE,Iowa
268,Landon Robinson,DL,Navy
269,J.C. Davis,OT,Illinois
270,Isaac Smith,S,Mississippi State
271,Rasheem Biles,LB,Pittsburgh
272,Sam Roush,TE,Stanford
273,Arion Carter,LB,Tennessee
274,Diego Pavia,QB,Vanderbilt
275,Peyton Bowen,S,Oklahoma
276,Adam Randall,RB,Clemson
277,Aamil Wagner,OT,Notre Dame
278,Davion Carter,IOL,Texas Tech
279,Jerry Wilson,CB,Florida State
280,LJ Martin,RB,BYU
281,Jaden Keller,LB,Virginia Tech
282,Bishop Fitzgerald,S,USC
283,Pat Coogan,IOL,Indiana
284,Robert Spears-Jennings,S,Oklahoma
285,Hank Beatty,WR,Illinois
286,Adon Shuler,S,Notre Dame
287,Cole Payton,QB,North Dakota State
288,Samuel Omosigho,LB,Oklahoma
289,Mike Washington Jr.,RB,Arkansas
290,Isaiah Nwokobia,S,SMU
291,Carver Willis,OT,Washington
292,Jakobe Thomas,S,Miami (FL)
293,Niki Prongos,OT,Stanford
294,Markel Bell,OT,Miami (FL)
295,Thaddeus Dixon,CB,North Carolina
296,Chris Adams,IOL,Memphis
297,John Michael Gyllenborg,TE,Wyoming
298,Trebor Pena,WR,Penn State
299,D.J. Campbell,IOL,Texas
300,Albert Regis,DL,Texas A&M
301,Raion Strader,CB,Auburn
302,Makhi Hughes,RB,Oregon
303,Roman Hemby,RB,Indiana
304,Bryce Foster,IOL,Kansas
305,Jahiem Lawson,EDGE,Clemson
306,Wesley Williams,DL,Duke
307,J.Michael Sturdivant,WR,Florida
308,Trey Moore,EDGE,Texas
309,Amare Thomas,WR,Houston
310,Raleek Brown,RB,Arizona State
311,Nate Johnson,EDGE,Missouri
312,Chase Roberts,WR,BYU
313,Bryce Boettcher,LB,Oregon
314,Jaren Kanak,TE,Oklahoma
315,Jeremiah Cooper,S,Iowa State
316,Jaydn Ott,RB,Oklahoma
317,Jeremiah Wright,IOL,Auburn
318,Ethan Burke,EDGE,Texas
319,Jalen Huskey,CB,Maryland
320,Clay Patterson,DL,Stanford
321,Jordan van den Berg,DL,Georgia Tech
322,Tyler Onyedim,DL,Texas A&M
323,Ar'maj Reed-Adams,IOL,Texas A&M
324,Luke Altmyer,QB,Illinois
325,Jager Burton,IOL,Kentucky
326,Amare Campbell,LB,Penn State
327,Joey Aguilar,QB,Tennessee
328,Evan Stewart,WR,Oregon
329,Sabastian Harsh,DL,NC State
330,Devonta Smith,CB,Notre Dame
331,Noah Whittington,RB,Oregon
332,Raylen Wilson,LB,Georgia
333,Ryan Baer,IOL,Pittsburgh
334,Eric O'Neill,EDGE,Rutgers
335,Miller Moss,QB,Louisville
336,Isaiah Glasker,LB,BYU
337,Garrett DiGiorgio,OT,UCLA
338,Dariel Djabome,LB,Rutgers
