Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Sonny Styles,LB,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Rueben Bain,EDGE,Miami (FL)
8,Carnell Tate,WR,Ohio State
9,Caleb Downs,S,Ohio State
10,Mansoor Delane,CB,LSU
11,Monroe Freeling,OT,Georgia
12,Spencer Fano,OT,Utah
13,Makai Lemon,WR,USC
14,Jordyn Tyson,WR,Arizona State
15,Jermod McCoy,CB,Tennessee
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Dillon Thieneman,S,Oregon
19,Keldric Faulk,EDGE,Auburn
20,Akheem Mesidor,EDGE,Miami (FL)
21,Kadyn Proctor,OT,Alabama
22,Avieon Terrell,CB,Clemson
23,Caleb Lomu,OT,Utah
24,Omar Cooper Jr.,WR,Indiana
25,Peter Woods,DL,Clemson
26,Emmanuel McNeil-Warren,S,Toledo
27,T.J. Parker,EDGE,Clemson
28,Blake Miller,OT,Clemson
29,Kayden McDonald,DL,Ohio State
30,Denzel Boston,WR,Washington
31,C.J. Allen,LB,Georgia
32,Kevin Concepcion,WR,Texas A&M
33,Ty Simpson,QB,Alabama
34,Cashius Howell,EDGE,Texas A&M
35,Colton Hood,CB,Tennessee
36,Caleb Banks,DL,Florida
37,Max Iheanachor,OT,Arizona State
38,Zion Young,EDGE,Missouri
39,Brandon Cisse,CB,South Carolina
40,Emmanuel Pregnon,IOL,Oregon
41,Jacob Rodriguez,LB,Texas Tech
42,Chase Bisontis,IOL,Texas A&M
43,Lee Hunter,DL,Texas Tech
44,Malachi Lawrence,EDGE,UCF
45,Christen Miller,DL,Georgia
46,Jadarian Price,RB,Notre Dame
47,Chris Johnson,CB,San Diego State
48,R Mason Thomas,EDGE,Oklahoma
49,Anthony Hill Jr.,LB,Texas
50,Chris Brazzell,WR,Tennessee
51,Chris Bell,WR,Louisville
52,Gabe Jacas,EDGE,Illinois
53,Jake Golday,LB,Cincinnati
54,D'angelo Ponds,CB,Indiana
55,Germie Bernard,WR,Alabama
56,Eli Stowers,TE,Vanderbilt
57,A.J. Haulcy,S,LSU
58,Gennings Dunker,OT,Iowa
59,Derrick Moore,EDGE,Michigan
60,Josiah Trotter,LB,Missouri
61,Keionte Scott,CB,Miami (FL)
62,Keith Abney II,CB,Arizona State
63,Keylan Rutledge,IOL,Georgia Tech
64,Treydan Stukes,CB,Arizona
65,Mike Washington Jr.,RB,Arkansas
66,Dani Dennis-Sutton,EDGE,Penn State
67,Antonio Williams,WR,Clemson
68,Caleb Tiernan,OT,Northwestern
69,Malachi Fields,WR,Notre Dame
70,Zachariah Branch,WR,Georgia
71,Max Klare,TE,Ohio State
72,Connor Lew,IOL,Auburn
73,Sam Hecht,IOL,Kansas State
74,Domonique Orange,DL,Iowa State
75,Elijah Sarratt,WR,Indiana
76,Davison Igbinosun,CB,Ohio State
77,Kyle Louis,LB,Pittsburgh
78,Kamari Ramsey,S,USC
79,Gracen Halton,DL,Oklahoma
80,Joshua Josephs,EDGE,Tennessee
81,Skyler Bell,WR,UConn
82,Ted Hurst,WR,Georgia State
83,Romello Height,EDGE,Texas Tech
84,Genesis Smith,S,Arizona
85,Darrell Jackson Jr.,DL,Florida State
86,Zakee Wheatley,S,Penn State
87,Bryce Lance,WR,North Dakota State
88,Garrett Nussmeier,QB,LSU
89,Jonah Coleman,RB,Washington
90,Jalon Kilgore,S,South Carolina
91,Bud Clark,S,TCU
92,Devin Moore,CB,Florida
93,Oscar Delp,TE,Georgia
94,Malik Muhammad,CB,Texas
95,Jake Slaughter,IOL,Florida
96,Deion Burks,WR,Oklahoma
97,Julian Neal,CB,Arkansas
