Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Rueben Bain,EDGE,Miami (FL)
5,Francis Mauigoa,OT,Miami (FL)
6,Jeremiyah Love,RB,Notre Dame
7,Caleb Downs,S,Ohio State
8,Carnell Tate,WR,Ohio State
9,Sonny Styles,LB,Ohio State
10,Spencer Fano,OT,Utah
11,Mansoor Delane,CB,LSU
12,Makai Lemon,WR,USC
13,Jordyn Tyson,WR,Arizona State
14,Jermod McCoy,CB,Tennessee
15,Monroe Freeling,OT,Georgia
16,Olaivavega Ioane,IOL,Penn State
17,Keldric Faulk,EDGE,Auburn
18,Kenyon Sadiq,TE,Oregon
19,Peter Woods,DL,Clemson
20,Avieon Terrell,CB,Clemson
21,Akheem Mesidor,EDGE,Miami (FL)
22,Caleb Banks,DL,Florida
23,Denzel Boston,WR,Washington
24,Kadyn Proctor,OT,Alabama
25,Dillon Thieneman,S,Oregon
26,Cashius Howell,EDGE,Texas A&M
27,C.J. Allen,LB,Georgia
28,Caleb Lomu,OT,Utah
29,Kevin Concepcion,WR,Texas A&M
30,T.J. Parker,EDGE,Clemson
31,Emmanuel McNeil-Warren,S,Toledo
32,Ty Simpson,QB,Alabama
33,Kayden McDonald,DL,Ohio State
34,Colton Hood,CB,Tennessee
35,Omar Cooper Jr.,WR,Indiana
36,Blake Miller,OT,Clemson
37,Brandon Cisse,CB,South Carolina
38,Zion Young,EDGE,Missouri
39,Lee Hunter,DL,Texas Tech
40,Max Iheanachor,OT,Arizona State
41,Emmanuel Pregnon,IOL,Oregon
42,R Mason Thomas,EDGE,Oklahoma
43,Chris Johnson,CB,San Diego State
44,Anthony Hill Jr.,LB,Texas
45,Chase Bisontis,IOL,Texas A&M
46,Christen Miller,DL,Georgia
47,Chris Brazzell,WR,Tennessee
48,Eli Stowers,TE,Vanderbilt
49,Chris Bell,WR,Louisville
50,Jadarian Price,RB,Notre Dame
51,Zachariah Branch,WR,Georgia
52,D'angelo Ponds,CB,Indiana
53,Malachi Fields,WR,Notre Dame
54,Jacob Rodriguez,LB,Texas Tech
55,Gennings Dunker,OT,Iowa
56,Keith Abney II,CB,Arizona State
57,Jake Golday,LB,Cincinnati
58,Gabe Jacas,EDGE,Illinois
59,A.J. Haulcy,S,LSU
60,Germie Bernard,WR,Alabama
61,Keionte Scott,CB,Miami (FL)
62,Malachi Lawrence,EDGE,UCF
63,Elijah Sarratt,WR,Indiana
64,Connor Lew,IOL,Auburn
65,Derrick Moore,EDGE,Michigan
66,Caleb Tiernan,OT,Northwestern
67,Antonio Williams,WR,Clemson
68,Dani Dennis-Sutton,EDGE,Penn State
69,Josiah Trotter,LB,Missouri
70,L.T. Overton,EDGE,Alabama
71,Davison Igbinosun,CB,Ohio State
72,Kamari Ramsey,S,USC
73,Max Klare,TE,Ohio State
74,Zakee Wheatley,S,Penn State
75,Romello Height,EDGE,Texas Tech
76,Gracen Halton,DL,Oklahoma
77,Mike Washington Jr.,RB,Arkansas
78,Keylan Rutledge,IOL,Georgia Tech
79,Emmett Johnson,RB,Nebraska
80,Darrell Jackson Jr.,DL,Florida State
81,Jake Slaughter,IOL,Florida
82,Kyle Louis,LB,Pittsburgh
83,Garrett Nussmeier,QB,LSU
84,Skyler Bell,WR,UConn
85,Sam Hecht,IOL,Kansas State
86,Domonique Orange,DL,Iowa State
87,Julian Neal,CB,Arkansas
88,Genesis Smith,S,Arizona
89,Treydan Stukes,CB,Arizona
90,Drew Allar,QB,Penn State
91,Joshua Josephs,EDGE,Tennessee
92,Ted Hurst,WR,Georgia State
93,Malik Muhammad,CB,Texas
94,Chandler Rivers,CB,Duke
95,Jonah Coleman,RB,Washington
96,Brian Parker II,OT,Duke
97,Jalon Kilgore,S,South Carolina
