Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Francis Mauigoa,OT,Miami (FL)
6,Sonny Styles,LB,Ohio State
7,Rueben Bain,EDGE,Miami (FL)
8,Carnell Tate,WR,Ohio State
9,Caleb Downs,S,Ohio State
10,Mansoor Delane,CB,LSU
11,Monroe Freeling,OT,Georgia
12,Spencer Fano,OT,Utah
13,Makai Lemon,WR,USC
14,Jordyn Tyson,WR,Arizona State
15,Jermod McCoy,CB,Tennessee
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Dillon Thieneman,S,Oregon
19,Keldric Faulk,EDGE,Auburn
20,Akheem Mesidor,EDGE,Miami (FL)
21,Kadyn Proctor,OT,Alabama
22,Avieon Terrell,CB,Clemson
23,Caleb Lomu,OT,Utah
24,Omar Cooper Jr.,WR,Indiana
25,Peter Woods,DL,Clemson
26,Emmanuel McNeil-Warren,S,Toledo
27,Denzel Boston,WR,Washington
28,T.J. Parker,EDGE,Clemson
29,Blake Miller,OT,Clemson
30,Ty Simpson,QB,Alabama
31,Kevin Concepcion,WR,Texas A&M
32,Kayden McDonald,DL,Ohio State
33,C.J. Allen,LB,Georgia
34,Colton Hood,CB,Tennessee
35,Cashius Howell,EDGE,Texas A&M
36,Caleb Banks,DL,Florida
37,Max Iheanachor,OT,Arizona State
38,Zion Young,EDGE,Missouri
39,Emmanuel Pregnon,IOL,Oregon
40,Brandon Cisse,CB,South Carolina
41,Malachi Lawrence,EDGE,UCF
42,Chris Johnson,CB,San Diego State
43,Jacob Rodriguez,LB,Texas Tech
44,Chase Bisontis,IOL,Texas A&M
45,Christen Miller,DL,Georgia
46,Jadarian Price,RB,Notre Dame
47,R Mason Thomas,EDGE,Oklahoma
48,Lee Hunter,DL,Texas Tech
49,Anthony Hill Jr.,LB,Texas
50,Chris Brazzell,WR,Tennessee
51,Chris Bell,WR,Louisville
52,D'angelo Ponds,CB,Indiana
53,Gabe Jacas,EDGE,Illinois
54,Eli Stowers,TE,Vanderbilt
55,Germie Bernard,WR,Alabama
56,Jake Golday,LB,Cincinnati
57,A.J. Haulcy,S,LSU
58,Derrick Moore,EDGE,Michigan
59,Keionte Scott,CB,Miami (FL)
60,Josiah Trotter,LB,Missouri
61,Gennings Dunker,OT,Iowa
62,Keith Abney II,CB,Arizona State
63,Treydan Stukes,CB,Arizona
64,Keylan Rutledge,IOL,Georgia Tech
65,Mike Washington Jr.,RB,Arkansas
66,Caleb Tiernan,OT,Northwestern
67,Antonio Williams,WR,Clemson
68,Zachariah Branch,WR,Georgia
69,Malachi Fields,WR,Notre Dame
70,Dani Dennis-Sutton,EDGE,Penn State
71,Connor Lew,IOL,Auburn
72,Max Klare,TE,Ohio State
73,Sam Hecht,IOL,Kansas State
74,Domonique Orange,DL,Iowa State
75,Kamari Ramsey,S,USC
76,Elijah Sarratt,WR,Indiana
77,Kyle Louis,LB,Pittsburgh
78,Davison Igbinosun,CB,Ohio State
79,Ted Hurst,WR,Georgia State
80,Joshua Josephs,EDGE,Tennessee
81,Skyler Bell,WR,UConn
82,Gracen Halton,DL,Oklahoma
83,Romello Height,EDGE,Texas Tech
84,Garrett Nussmeier,QB,LSU
85,Genesis Smith,S,Arizona
86,Darrell Jackson Jr.,DL,Florida State
87,Bryce Lance,WR,North Dakota State
88,Jalon Kilgore,S,South Carolina
89,Bud Clark,S,TCU
90,Jonah Coleman,RB,Washington
91,Zakee Wheatley,S,Penn State
92,Oscar Delp,TE,Georgia
93,Malik Muhammad,CB,Texas
94,Deion Burks,WR,Oklahoma
95,Julian Neal,CB,Arkansas
96,Deontae Lawson,LB,Alabama
97,Dametrious Crownover,OT,Texas A&M
