Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Francis Mauigoa,OT,Miami (FL)
6,Sonny Styles,LB,Ohio State
7,Rueben Bain,EDGE,Miami (FL)
8,Carnell Tate,WR,Ohio State
9,Caleb Downs,S,Ohio State
10,Mansoor Delane,CB,LSU
11,Monroe Freeling,OT,Georgia
12,Spencer Fano,OT,Utah
13,Makai Lemon,WR,USC
14,Jermod McCoy,CB,Tennessee
15,Jordyn Tyson,WR,Arizona State
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Dillon Thieneman,S,Oregon
19,Akheem Mesidor,EDGE,Miami (FL)
20,Keldric Faulk,EDGE,Auburn
21,Kadyn Proctor,OT,Alabama
22,Avieon Terrell,CB,Clemson
23,Omar Cooper Jr.,WR,Indiana
24,Caleb Lomu,OT,Utah
25,Peter Woods,DL,Clemson
26,Emmanuel McNeil-Warren,S,Toledo
27,Blake Miller,OT,Clemson
28,T.J. Parker,EDGE,Clemson
29,Kevin Concepcion,WR,Texas A&M
30,Kayden McDonald,DL,Ohio State
31,Ty Simpson,QB,Alabama
32,Denzel Boston,WR,Washington
33,C.J. Allen,LB,Georgia
34,Cashius Howell,EDGE,Texas A&M
35,Colton Hood,CB,Tennessee
36,Max Iheanachor,OT,Arizona State
37,Caleb Banks,DL,Florida
38,Zion Young,EDGE,Missouri
39,Emmanuel Pregnon,IOL,Oregon
40,Brandon Cisse,CB,South Carolina
41,Malachi Lawrence,EDGE,UCF
42,Chris Johnson,CB,San Diego State
43,Chase Bisontis,IOL,Texas A&M
44,R Mason Thomas,EDGE,Oklahoma
45,Jacob Rodriguez,LB,Texas Tech
46,Christen Miller,DL,Georgia
47,Lee Hunter,DL,Texas Tech
48,Jadarian Price,RB,Notre Dame
49,Anthony Hill Jr.,LB,Texas
50,Chris Brazzell,WR,Tennessee
51,Jake Golday,LB,Cincinnati
52,Gabe Jacas,EDGE,Illinois
53,Chris Bell,WR,Louisville
54,Eli Stowers,TE,Vanderbilt
55,D'angelo Ponds,CB,Indiana
56,Germie Bernard,WR,Alabama
57,A.J. Haulcy,S,LSU
58,Derrick Moore,EDGE,Michigan
59,Keith Abney II,CB,Arizona State
60,Keionte Scott,CB,Miami (FL)
61,Gennings Dunker,OT,Iowa
62,Josiah Trotter,LB,Missouri
63,Zachariah Branch,WR,Georgia
64,Caleb Tiernan,OT,Northwestern
65,Keylan Rutledge,IOL,Georgia Tech
66,Domonique Orange,DL,Iowa State
67,Treydan Stukes,CB,Arizona
68,Malachi Fields,WR,Notre Dame
69,Dani Dennis-Sutton,EDGE,Penn State
70,Mike Washington Jr.,RB,Arkansas
71,Antonio Williams,WR,Clemson
72,Connor Lew,IOL,Auburn
73,Ted Hurst,WR,Georgia State
74,Romello Height,EDGE,Texas Tech
75,Gracen Halton,DL,Oklahoma
76,Kyle Louis,LB,Pittsburgh
77,Max Klare,TE,Ohio State
78,Davison Igbinosun,CB,Ohio State
79,Sam Hecht,IOL,Kansas State
80,Elijah Sarratt,WR,Indiana
81,Joshua Josephs,EDGE,Tennessee
82,Skyler Bell,WR,UConn
83,Kamari Ramsey,S,USC
84,Jaishawn Barham,LB,Michigan
85,Garrett Nussmeier,QB,LSU
86,Darrell Jackson Jr.,DL,Florida State
87,Bryce Lance,WR,North Dakota State
88,Genesis Smith,S,Arizona
89,Julian Neal,CB,Arkansas
90,Keyron Crawford,EDGE,Auburn
91,Malik Muhammad,CB,Texas
92,Jalon Kilgore,S,South Carolina
93,Bud Clark,S,TCU
94,Zakee Wheatley,S,Penn State
95,Oscar Delp,TE,Georgia
96,Jonah Coleman,RB,Washington
97,Deion Burks,WR,Oklahoma
