Rank,Player Name,Position,College
1,Arch Manning,QB,Texas
2,Dante Moore,QB,Oregon
3,Jeremiah Smith,WR,Ohio State
4,LaNorris Sellers,QB,South Carolina
5,DJ Lagway,QB,Baylor
6,Julian Sayin,QB,Ohio State
7,Ryan Williams,WR,Alabama
8,Cole Sullivan,LB,Oklahoma
9,Colin Simmons,EDGE,Texas
10,Dylan Stewart,EDGE,South Carolina
11,Leonard Moore,CB,Notre Dame
12,David Stone,DL,Oklahoma
13,Cam Dooley,S,Kentucky
14,Jordan Ross,DL,LSU
15,OJ Frederique Jr.,CB,Miami (FL)
16,A'Mauri Washington,DL,Oregon
17,Dermaricus Davis,QB,UCLA
18,Cam Coleman,WR,Texas
19,Trevor Goosby,OT,Texas
20,Gregory Smith,S,Florida
21,Ahmad Hardy,RB,Missouri
22,Koi Perich,S,Oregon
23,Ellis Robinson IV,CB,Georgia
24,Jordan Seaton,OT,Colorado
25,Jayden Jackson,DL,Oklahoma State
26,Jaiden Patterson,S,North Carolina
27,Justin Scott,DL,Miami (FL)
28,Elijah Rushing,EDGE,Oregon
29,Ashton Hampton,CB,Clemson
30,Nate Frazier,RB,Georgia
31,Jaden Craig,QB,TCU
32,KJ Bolden,S,Georgia
33,Sammy Brown,LB,Clemson
34,Maraad Watson,DL,Texas
35,Eli Bowen,CB,Oklahoma
36,Bradley Shaw,LB,Arkansas
37,Zabien Brown,CB,Alabama
38,Williams Nwaneri,DL,Nebraska
39,Jamari Johnson,TE,Oregon
40,Terry Bussey,WR,Texas A&M
41,Marcus Neal Jr.,S,Penn State
42,Mazeo Bennett,WR,South Carolina
43,I'Marion Stewart,WR,Michigan
44,Izaiah Williams,WR,Kansas State
45,Matayo Uiagalelei,EDGE,Oregon
46,Mason Curtis,LB,Michigan
47,Corey Smith,RB,Penn State
48,Solomon Williams,EDGE,California
49,Amaris Williams,EDGE,Georgia
50,Dylan Stephenson,EDGE,Stanford
51,Booker Pickett Jr.,EDGE,Miami (FL)
52,Kwazi Gilmer,WR,Nebraska
53,Caleb Odom,TE,Alabama
54,Charles Lester III,CB,Florida State
55,DJ McKinney,CB,Notre Dame
56,Daniel Calhoun,OT,Georgia
57,Davon Mitchell,TE,Oklahoma
58,Dillan Johnson,DL,Wisconsin
59,Dontae Carter,S,Vanderbilt
60,A.J. Harris,CB,Indiana
61,Elijah Brown,QB,Stanford
62,Ernest Willor Jr.,DL,Wisconsin
63,Kade Pieper,IOL,Iowa
64,Eugene Brooks,IOL,Oklahoma
65,Fred Johnson,LB,South Carolina
66,Anto Saka,EDGE,Texas A&M
67,Fletcher Westphal,OT,Florida
68,Nyck Harbor,WR,South Carolina
69,Gatlin Bair,WR,Oregon
70,Ivan Carreon,WR,Oklahoma
71,Jacob Smith,EDGE,Kentucky
72,Suntarine Perkins,LB,Mississippi
73,John Mateer,QB,Oklahoma
74,James Nesta,LB,Oklahoma
75,Jayshawn Ross,EDGE,Alabama
76,Anthony Smith,DL,Minnesota
77,Jericho Johnson,DL,Oregon
78,Jordan Marshall,RB,Michigan
79,Jordan Thomas,DL,South Carolina
80,Kaleb Beasley,CB,Louisville
81,Kam Franklin,DL,Mississippi
82,Eric Singleton Jr.,WR,Florida
83,Kamar Mothudi,LB,Oregon
84,Koy Beasley,S,Purdue
85,Aidan Chiles,QB,Northwestern
86,Kyle Altuner,IOL,West Virginia
87,Loghan Thomas,EDGE,Notre Dame
88,Marques Easley,OT,Georgia
89,Micahi Danzy,RB,Florida State
90,Michael Uini,OT,Georgia
91,Mike Matthews,WR,Tennessee
92,Sam Leavitt,QB,LSU
93,Nasir Johnson,DL,Georgia
94,Dakoda Fields,CB,Oklahoma
95,Cayden Green,OT,Missouri
96,Payton Pierce,LB,Ohio State
97,Selman Bridges,CB,Arkansas
98,Wardell Mack,CB,Texas
99,Weston Davis,OT,LSU
100,Xavier Filsaime,S,Texas
101,Zaquan Patterson,S,Miami (FL)
102,Jeremy Payne,RB,TCU
103,C.J. Baxter,RB,Kentucky
104,Terrell Anderson,WR,USC
105,Justice Haynes,RB,Georgia Tech
106,Cai Bates,CB,Wisconsin
107,Jontez Williams,CB,USC
