School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,207,15
Miami (FL),ACC,154,14
Texas A&M,SEC,143,20
Indiana,Big Ten,137,16
Clemson,ACC,137,16
Alabama,SEC,123,13
Georgia,SEC,119,14
Oregon,Big Ten,115,12
Texas Tech,Big 12,111,12
Tennessee,SEC,97,12
Penn State,Big Ten,95,16
Notre Dame,FBS - Independent,92,13
LSU,SEC,91,15
Arizona State,Big 12,87,14
Utah,Big 12,74,9
USC,Big Ten,69,9
Florida,SEC,66,12
Auburn,SEC,66,9
Washington,Big Ten,63,8
Oklahoma,SEC,61,12
Texas,SEC,60,13
Missouri,SEC,60,10
Iowa,Big Ten,57,13
Michigan,Big Ten,52,12
Cincinnati,Big 12,47,7
South Carolina,SEC,44,11
Arkansas,SEC,39,9
Kentucky,SEC,38,12
Toledo,FBS - MAC,38,4
Illinois,Big Ten,36,11
Georgia Tech,ACC,36,7
Ole Miss,SEC,35,11
Arizona,Big 12,35,5
Louisville,ACC,33,10
Vanderbilt,SEC,30,10
TCU,Big 12,29,9
Duke,ACC,28,6
UCF,Big 12,24,5
San Diego State,FBS - Mountain West,23,4
Northwestern,Big Ten,22,6
Florida State,ACC,20,10
NC State,ACC,20,8
Baylor,Big 12,20,7
Kansas State,Big 12,19,4
Boston College,ACC,19,4
Nebraska,Big Ten,18,10
North Dakota State,FCS,18,3
SMU,ACC,17,13
Iowa State,Big 12,17,3
Stanford,ACC,15,4
Georgia State,FBS - Sun Belt,15,1
Wisconsin,Big Ten,14,10
Pitt,ACC,14,4
BYU,Big 12,13,8
Mississippi State,SEC,12,5
UConn,FBS - AAC,12,2
Kansas,Big 12,11,9
Boise State,FBS - Mountain West,11,5
Memphis,FBS - AAC,11,5
California,ACC,11,5
Wake Forest,ACC,11,5
North Carolina,ACC,10,6
Navy,FBS - AAC,10,2
Wyoming,FBS - Mountain West,10,2
Virginia,ACC,9,5
Western Michigan,FBS - MAC,8,4
Michigan State,Big Ten,8,4
Houston,Big 12,8,3
Maryland,Big Ten,8,3
UCLA,Big Ten,7,7
Virginia Tech,ACC,7,7
Stephen F. Austin,FCS,7,2
Southeastern Louisiana,FCS,7,1
Colorado,Big 12,6,6
Miami (OH),FBS - MAC,5,5
Rutgers,Big Ten,5,5
Syracuse,ACC,5,5
UTSA,FBS - AAC,5,4
Buffalo,FBS - MAC,5,1
John Carroll,D3,5,1
Oregon State,Pac 12,4,4
Tulane,FBS - AAC,4,4
Minnesota,Big Ten,4,3
James Madison,FBS - Sun Belt,3,3
Troy,FBS - Sun Belt,3,3
Texas State,FBS - Sun Belt,3,3
UNLV,FBS - Mountain West,3,3
West Virginia,Big 12,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,2
New Mexico,FBS - Mountain West,2,2
Youngstown State,FCS,2,2
Purdue,Big Ten,2,2
Fresno State,FBS - Mountain West,2,2
North Texas,FBS - AAC,2,2
Incarnate Word,FCS,2,2
UAB,FBS - AAC,2,2
South Alabama,FBS - Sun Belt,2,2
Tulsa,FBS - AAC,2,2
Jacksonville State,FBS - CUSA,2,2
Florida Atlantic,FBS - AAC,2,2
Oklahoma State,Big 12,2,2
Massachusetts,FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
Central Michigan,FBS - MAC,2,1
Southern Miss,FBS - CUSA,1,1
Nigeria,D3,1,1
Weber State,FCS,1,1
Virginia Union,D2,1,1
Minnesota State-Moorhead,D2,1,1
Dartmouth,FCS,1,1
Kenya,D3,1,1
Hawaii,FBS - Mountain West,1,1
Morgan State,FCS,1,1
Florida International,FBS - CUSA,1,1
Virginia State,D2,1,1
Ohio,FBS - MAC,1,1
Rhode Island,FCS,1,1
Montana,FCS,1,1
William & Mary,FCS,1,1
Slippery Rock,D2,1,1
South Carolina State,FCS,1,1
Illinois State,FCS,1,1
Western Kentucky,FBS - CUSA,1,1
Louisiana Tech,FBS - CUSA,1,1
West Alabama,D2,1,1
Western Illinois,FCS,1,1
Charlotte,FBS - AAC,1,1
Akron,FBS - MAC,1,1
Delaware State,FCS,1,1
McNeese State,FCS,1,1
Sacramento State,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
San Jose State,FBS - Mountain West,1,1
North Dakota,FCS,1,1
South Dakota State,FCS,1,1
New Mexico State,FBS - CUSA,1,1
Cal Poly,FCS,1,1
Arkansas State,FBS - Sun Belt,1,1
UT Martin,FCS,1,1
Northern Illinois,FBS - MAC,1,1
Sam Houston State,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Old Dominion,FBS - CUSA,1,1
Florida A&M,FCS,1,1
Abilene Christian,FCS,1,1
UC Davis,FCS,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
